true_reaction,fake1,fake2,fake3
CC(=O)O.CCO>>CC(=O)OCC,CCO.CC(=O)O>>CC(=O)OCC,CC(=O)OCC>>CC(=O)O.CCO,CCO>>CC(=O)O.CC(=O)OCC
CCO.C(=O)Cl>>CC(=O)OCC.Cl,C(=O)Cl.CCO>>CC(=O)OCC.Cl,CC(=O)OCC.Cl>>CCO.C(=O)Cl,Cl>>CCO.CC(=O)OCC
CC=O.[H][H]>>CCO,CCO>>[H][H].CC=O,[H][H].CC=O>>CCO,CC=O>>CCO.[H][H]
CCCC(=O)O.CCO>>CCCC(=O)OCC,CCO.CCCC(=O)O>>CCCC(=O)OCC,CCCC(=O)OCC>>CCCC(=O)O.CCO,CCO>>CCCC(=O)O.CCCC(=O)OCC
CC(O)=O.NCC>>CC(=O)NCC,NCC.CC(O)=O>>CC(=O)NCC,CC(=O)NCC>>CC(O)=O.NCC,NCC>>CC(O)=O.CC(=O)NCC
CCN.CC(=O)Cl>>CC(=O)NCC.Cl,CC(=O)Cl.CCN>>CC(=O)NCC.Cl,CC(=O)NCC.Cl>>CCN.CC(=O)Cl,Cl>>CCN.CC(=O)NCC
c1ccccc1.Br>>c1ccc(Br)cc1,Br.c1ccccc1>>c1ccc(Br)cc1,c1ccc(Br)cc1>>c1ccccc1.Br,c1ccccc1>>Br.c1ccc(Br)cc1
CC(=O)C.NCC>>CC(=NCC)C,NCC.CC(=O)C>>CC(=NCC)C,CC(=NCC)C>>CC(=O)C.NCC,CC(=O)C>>NCC.CC(=NCC)C
CCOC(=O)C.O>>CCOC(=O)C(O),O.CCOC(=O)C>>CCOC(=O)C(O),CCOC(=O)C(O)>>CCOC(=O)C.O,CCOC(=O)C>>O.CCOC(=O)C(O)
CC(=O)OC(C)=O.CCO>>CC(=O)OCC.CC(=O)O,CCO.CC(=O)OC(C)=O>>CC(=O)OCC.CC(=O)O,CC(=O)OCC.CC(=O)O>>CC(=O)OC(C)=O.CCO,CCO>>CC(=O)OC(C)=O
CC(=O)Cl.NCC>>CC(=O)NCC.Cl,NCC.CC(=O)Cl>>CC(=O)NCC.Cl,CC(=O)NCC.Cl>>CC(=O)Cl.NCC,NCC>>CC(=O)Cl.CC(=O)NCC
CCO.CC(=O)Cl>>CC(=O)OCC.Cl,CC(=O)Cl.CCO>>CC(=O)OCC.Cl,CC(=O)OCC.Cl>>CCO.CC(=O)Cl,Cl>>CCO.CC(=O)OCC
